id,sia_e,ssa_e,ppq,tefo,phi_min,z_min,z_max,pseudo_plastic_uthreshold,sliding_law,eigen_K
0,1.03515625,1.33203125,0.455078125,0.02361328125,28.046875,-324.21875,863.28125,49.21875,regularized_coulomb,10000000000000.0
1,1.31640625,1.33203125,0.455078125,0.02361328125,28.046875,-324.21875,863.28125,49.21875,regularized_coulomb,10000000000000.0
2,1.03515625,1.81640625,0.455078125,0.02361328125,28.046875,-324.21875,863.28125,49.21875,regularized_coulomb,10000000000000.0
3,1.03515625,1.33203125,0.7667968749999999,0.02361328125,28.046875,-324.21875,863.28125,49.21875,regularized_coulomb,10000000000000.0
4,1.03515625,1.33203125,0.455078125,0.048222656249999996,28.046875,-324.21875,863.28125,49.21875,regularized_coulomb,10000000000000.0
5,1.03515625,1.33203125,0.455078125,0.02361328125,26.328125,-324.21875,863.28125,49.21875,regularized_coulomb,10000000000000.0
6,1.03515625,1.33203125,0.455078125,0.02361328125,28.046875,-121.09375,863.28125,49.21875,regularized_coulomb,10000000000000.0
7,1.03515625,1.33203125,0.455078125,0.02361328125,28.046875,-324.21875,27.34375,49.21875,regularized_coulomb,10000000000000.0
8,1.03515625,1.33203125,0.455078125,0.02361328125,28.046875,-324.21875,863.28125,152.34375,regularized_coulomb,10000000000000.0
9,1.31640625,1.81640625,0.7667968749999999,0.048222656249999996,26.328125,-121.09375,27.34375,152.34375,regularized_coulomb,10000000000000.0
10,2.53515625,1.83203125,0.805078125,0.04611328125,18.046875,-824.21875,363.28125,149.21875,regularized_coulomb,10000000000000.0
11,2.81640625,1.83203125,0.805078125,0.04611328125,18.046875,-824.21875,363.28125,149.21875,regularized_coulomb,10000000000000.0
12,2.53515625,1.31640625,0.805078125,0.04611328125,18.046875,-824.21875,363.28125,149.21875,regularized_coulomb,10000000000000.0
13,2.53515625,1.83203125,0.41679687499999996,0.04611328125,18.046875,-824.21875,363.28125,149.21875,regularized_coulomb,10000000000000.0
14,2.53515625,1.83203125,0.805078125,0.02572265625,18.046875,-824.21875,363.28125,149.21875,regularized_coulomb,10000000000000.0
15,2.53515625,1.83203125,0.805078125,0.04611328125,16.328125,-824.21875,363.28125,149.21875,regularized_coulomb,10000000000000.0
16,2.53515625,1.83203125,0.805078125,0.04611328125,18.046875,-621.09375,363.28125,149.21875,regularized_coulomb,10000000000000.0
17,2.53515625,1.83203125,0.805078125,0.04611328125,18.046875,-824.21875,527.34375,149.21875,regularized_coulomb,10000000000000.0
18,2.53515625,1.83203125,0.805078125,0.04611328125,18.046875,-824.21875,363.28125,52.34375,regularized_coulomb,10000000000000.0
19,2.81640625,1.31640625,0.41679687499999996,0.02572265625,16.328125,-621.09375,527.34375,52.34375,regularized_coulomb,10000000000000.0
20,3.28515625,1.08203125,0.280078125,0.03486328125,13.046875,-574.21875,613.28125,199.21875,regularized_coulomb,10000000000000.0
21,3.56640625,1.08203125,0.280078125,0.03486328125,13.046875,-574.21875,613.28125,199.21875,regularized_coulomb,10000000000000.0
22,3.28515625,1.06640625,0.280078125,0.03486328125,13.046875,-574.21875,613.28125,199.21875,regularized_coulomb,10000000000000.0
23,3.28515625,1.08203125,0.591796875,0.03486328125,13.046875,-574.21875,613.28125,199.21875,regularized_coulomb,10000000000000.0
24,3.28515625,1.08203125,0.280078125,0.03697265625,13.046875,-574.21875,613.28125,199.21875,regularized_coulomb,10000000000000.0
25,3.28515625,1.08203125,0.280078125,0.03486328125,21.328125,-574.21875,613.28125,199.21875,regularized_coulomb,10000000000000.0
26,3.28515625,1.08203125,0.280078125,0.03486328125,13.046875,-371.09375,613.28125,199.21875,regularized_coulomb,10000000000000.0
27,3.28515625,1.08203125,0.280078125,0.03486328125,13.046875,-574.21875,777.34375,199.21875,regularized_coulomb,10000000000000.0
28,3.28515625,1.08203125,0.280078125,0.03486328125,13.046875,-574.21875,613.28125,102.34375,regularized_coulomb,10000000000000.0
29,3.56640625,1.06640625,0.591796875,0.03697265625,21.328125,-371.09375,777.34375,102.34375,regularized_coulomb,10000000000000.0
30,1.78515625,1.58203125,0.630078125,0.057363281249999995,23.046875,-74.21875,113.28125,99.21875,regularized_coulomb,10000000000000.0
31,2.06640625,1.58203125,0.630078125,0.057363281249999995,23.046875,-74.21875,113.28125,99.21875,regularized_coulomb,10000000000000.0
32,1.78515625,1.56640625,0.630078125,0.057363281249999995,23.046875,-74.21875,113.28125,99.21875,regularized_coulomb,10000000000000.0
33,1.78515625,1.58203125,0.941796875,0.057363281249999995,23.046875,-74.21875,113.28125,99.21875,regularized_coulomb,10000000000000.0
34,1.78515625,1.58203125,0.630078125,0.05947265625,23.046875,-74.21875,113.28125,99.21875,regularized_coulomb,10000000000000.0
35,1.78515625,1.58203125,0.630078125,0.057363281249999995,11.328125,-74.21875,113.28125,99.21875,regularized_coulomb,10000000000000.0
36,1.78515625,1.58203125,0.630078125,0.057363281249999995,23.046875,-871.09375,113.28125,99.21875,regularized_coulomb,10000000000000.0
37,1.78515625,1.58203125,0.630078125,0.057363281249999995,23.046875,-74.21875,277.34375,99.21875,regularized_coulomb,10000000000000.0
38,1.78515625,1.58203125,0.630078125,0.057363281249999995,23.046875,-74.21875,113.28125,2.34375,regularized_coulomb,10000000000000.0
39,2.06640625,1.56640625,0.941796875,0.05947265625,11.328125,-871.09375,277.34375,2.34375,regularized_coulomb,10000000000000.0
40,2.16015625,1.20703125,0.892578125,0.05173828125,20.546875,-449.21875,738.28125,174.21875,regularized_coulomb,10000000000000.0
41,3.94140625,1.20703125,0.892578125,0.05173828125,20.546875,-449.21875,738.28125,174.21875,regularized_coulomb,10000000000000.0
42,2.16015625,1.44140625,0.892578125,0.05173828125,20.546875,-449.21875,738.28125,174.21875,regularized_coulomb,10000000000000.0
43,2.16015625,1.20703125,0.504296875,0.05173828125,20.546875,-449.21875,738.28125,174.21875,regularized_coulomb,10000000000000.0
44,2.16015625,1.20703125,0.892578125,0.05384765625,20.546875,-449.21875,738.28125,174.21875,regularized_coulomb,10000000000000.0
45,2.16015625,1.20703125,0.892578125,0.05173828125,23.828125,-449.21875,738.28125,174.21875,regularized_coulomb,10000000000000.0
46,2.16015625,1.20703125,0.892578125,0.05173828125,20.546875,-746.09375,738.28125,174.21875,regularized_coulomb,10000000000000.0
47,2.16015625,1.20703125,0.892578125,0.05173828125,20.546875,-449.21875,402.34375,174.21875,regularized_coulomb,10000000000000.0
48,2.16015625,1.20703125,0.892578125,0.05173828125,20.546875,-449.21875,738.28125,27.34375,regularized_coulomb,10000000000000.0
49,3.94140625,1.44140625,0.504296875,0.05384765625,23.828125,-746.09375,402.34375,27.34375,regularized_coulomb,10000000000000.0
50,3.66015625,1.70703125,0.5425781249999999,0.029238281249999998,10.546875,-949.21875,238.28125,74.21875,regularized_coulomb,10000000000000.0
51,2.44140625,1.70703125,0.5425781249999999,0.029238281249999998,10.546875,-949.21875,238.28125,74.21875,regularized_coulomb,10000000000000.0
52,3.66015625,1.94140625,0.5425781249999999,0.029238281249999998,10.546875,-949.21875,238.28125,74.21875,regularized_coulomb,10000000000000.0
53,3.66015625,1.70703125,0.854296875,0.029238281249999998,10.546875,-949.21875,238.28125,74.21875,regularized_coulomb,10000000000000.0
54,3.66015625,1.70703125,0.5425781249999999,0.031347656249999994,10.546875,-949.21875,238.28125,74.21875,regularized_coulomb,10000000000000.0
55,3.66015625,1.70703125,0.5425781249999999,0.029238281249999998,13.828125,-949.21875,238.28125,74.21875,regularized_coulomb,10000000000000.0
56,3.66015625,1.70703125,0.5425781249999999,0.029238281249999998,10.546875,-246.09375,238.28125,74.21875,regularized_coulomb,10000000000000.0
57,3.66015625,1.70703125,0.5425781249999999,0.029238281249999998,10.546875,-949.21875,902.34375,74.21875,regularized_coulomb,10000000000000.0
58,3.66015625,1.70703125,0.5425781249999999,0.029238281249999998,10.546875,-949.21875,238.28125,127.34375,regularized_coulomb,10000000000000.0
59,2.44140625,1.94140625,0.854296875,0.031347656249999994,13.828125,-246.09375,902.34375,127.34375,regularized_coulomb,10000000000000.0
60,2.91015625,1.45703125,0.717578125,0.040488281249999994,15.546875,-699.21875,988.28125,24.21875,regularized_coulomb,10000000000000.0
61,1.69140625,1.45703125,0.717578125,0.040488281249999994,15.546875,-699.21875,988.28125,24.21875,regularized_coulomb,10000000000000.0
62,2.91015625,1.69140625,0.717578125,0.040488281249999994,15.546875,-699.21875,988.28125,24.21875,regularized_coulomb,10000000000000.0
63,2.91015625,1.45703125,0.6792968749999999,0.040488281249999994,15.546875,-699.21875,988.28125,24.21875,regularized_coulomb,10000000000000.0
64,2.91015625,1.45703125,0.717578125,0.02009765625,15.546875,-699.21875,988.28125,24.21875,regularized_coulomb,10000000000000.0
65,2.91015625,1.45703125,0.717578125,0.040488281249999994,28.828125,-699.21875,988.28125,24.21875,regularized_coulomb,10000000000000.0
66,2.91015625,1.45703125,0.717578125,0.040488281249999994,15.546875,-996.09375,988.28125,24.21875,regularized_coulomb,10000000000000.0
67,2.91015625,1.45703125,0.717578125,0.040488281249999994,15.546875,-699.21875,652.34375,24.21875,regularized_coulomb,10000000000000.0
68,2.91015625,1.45703125,0.717578125,0.040488281249999994,15.546875,-699.21875,988.28125,77.34375,regularized_coulomb,10000000000000.0
69,1.69140625,1.69140625,0.6792968749999999,0.02009765625,28.828125,-996.09375,652.34375,77.34375,regularized_coulomb,10000000000000.0
70,1.41015625,1.95703125,0.367578125,0.017988281249999998,25.546875,-199.21875,488.28125,124.21875,regularized_coulomb,10000000000000.0
71,3.19140625,1.95703125,0.367578125,0.017988281249999998,25.546875,-199.21875,488.28125,124.21875,regularized_coulomb,10000000000000.0
72,1.41015625,1.19140625,0.367578125,0.017988281249999998,25.546875,-199.21875,488.28125,124.21875,regularized_coulomb,10000000000000.0
73,1.41015625,1.95703125,0.329296875,0.017988281249999998,25.546875,-199.21875,488.28125,124.21875,regularized_coulomb,10000000000000.0
74,1.41015625,1.95703125,0.367578125,0.04259765625,25.546875,-199.21875,488.28125,124.21875,regularized_coulomb,10000000000000.0
75,1.41015625,1.95703125,0.367578125,0.017988281249999998,18.828125,-199.21875,488.28125,124.21875,regularized_coulomb,10000000000000.0
76,1.41015625,1.95703125,0.367578125,0.017988281249999998,25.546875,-496.09375,488.28125,124.21875,regularized_coulomb,10000000000000.0
77,1.41015625,1.95703125,0.367578125,0.017988281249999998,25.546875,-199.21875,152.34375,124.21875,regularized_coulomb,10000000000000.0
78,1.41015625,1.95703125,0.367578125,0.017988281249999998,25.546875,-199.21875,488.28125,177.34375,regularized_coulomb,10000000000000.0
79,3.19140625,1.19140625,0.329296875,0.04259765625,18.828125,-496.09375,152.34375,177.34375,regularized_coulomb,10000000000000.0
80,1.59765625,1.01953125,0.761328125,0.02642578125,19.296875,-11.71875,675.78125,161.71875,regularized_coulomb,10000000000000.0
81,3.75390625,1.01953125,0.761328125,0.02642578125,19.296875,-11.71875,675.78125,161.71875,regularized_coulomb,10000000000000.0
82,1.59765625,1.50390625,0.761328125,0.02642578125,19.296875,-11.71875,675.78125,161.71875,regularized_coulomb,10000000000000.0
83,1.59765625,1.01953125,0.285546875,0.02642578125,19.296875,-11.71875,675.78125,161.71875,regularized_coulomb,10000000000000.0
84,1.59765625,1.01953125,0.761328125,0.04541015625,19.296875,-11.71875,675.78125,161.71875,regularized_coulomb,10000000000000.0
85,1.59765625,1.01953125,0.761328125,0.02642578125,12.578125,-11.71875,675.78125,161.71875,regularized_coulomb,10000000000000.0
86,1.59765625,1.01953125,0.761328125,0.02642578125,19.296875,-933.59375,675.78125,161.71875,regularized_coulomb,10000000000000.0
87,1.59765625,1.01953125,0.761328125,0.02642578125,19.296875,-11.71875,839.84375,161.71875,regularized_coulomb,10000000000000.0
88,1.59765625,1.01953125,0.761328125,0.02642578125,19.296875,-11.71875,675.78125,39.84375,regularized_coulomb,10000000000000.0
89,3.75390625,1.50390625,0.285546875,0.04541015625,12.578125,-933.59375,839.84375,39.84375,regularized_coulomb,10000000000000.0
90,3.09765625,1.51953125,0.411328125,0.04892578125,29.296875,-511.71875,175.78125,61.71875,regularized_coulomb,10000000000000.0
